date,pointIndex,timePoint,declarationPower,declarationPowerUpper,declarationPowerLower,declarationStartStopState,declarationPercent,defaultDeclarationPower,defaultDeclarationPowerUpper,defaultDeclarationPowerLower,defaultDeclarationStartStopState,defaultDeclarationPercent,dayAheadUserMediumLongPower,dayAheadUserStandardPower,dayAheadUserSumPower,dayAheadUserClearingPower,dayAheadUserPrice,dayAheadUserPriceFinal,dayAheadUserSouthPrice,dayAheadUserNorthPrice,dayAheadPublicClearingPower,dayAheadPublicPrice,dayAheadPublicSouthPrice,dayAheadPublicNorthPrice,dayAheadPublicSouthNodePrice,dayAheadPublicNorthNodePrice,realTimeSouthPrice,realTimeNorthPrice,realTimeSouthNodePrice,realTimeNorthNodePrice,realTimeSouthReleaseType,realTimeNorthReleaseType,realTimeClearingPower,realTimeAvgPrice,realTimePointPrice,realTimeAvgPriceCurrent,realTimePointPriceCurrent,realTimeAvgPriceFinal,realTimePointPriceFinal,actualKwh,settleAmount,sourceTargets,sourceFiles
2026-05-12,24,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.7,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,25,06:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.9,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,26,06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.9,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,27,06:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,28,07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,29,07:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.9,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,30,07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.9,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,31,07:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.9,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,32,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.5,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
2026-05-12,33,08:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.6,,,,,,,,realtime_public_clearing|realtime_average_price,067-www-jspec-com-cn-px-spotgoods-province-curclearingresult-querytablexrdonlyjiesuan.json|069-www-jspec-com-cn-px-spotgoods-province-realtimeclearingrelease-queryrealtimemaravepricepublic.json
