"source_file","export_month","trade_date","hour_index","hour_window","raw_value","raw_unit_label","contains_credentials"
"1、交易计算表2月.xls","2026-02","2026-02-20","13","12:00-13:00","77278","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","14","13:00-14:00","87234","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","15","14:00-15:00","78403","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","16","15:00-16:00","78709","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","17","16:00-17:00","80379","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","18","17:00-18:00","81493","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","19","18:00-19:00","78204","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","20","19:00-20:00","87423","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","21","20:00-21:00","75456","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","22","21:00-22:00","83748","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","23","22:00-23:00","74007","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-20","24","23:00-24:00","62617","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-19","1","00:00-01:00","34478","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-19","2","01:00-02:00","34464","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-19","3","02:00-03:00","32939","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-19","4","03:00-04:00","23001","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-19","5","04:00-05:00","35355","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-19","6","05:00-06:00","48830","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-19","7","06:00-07:00","62394","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-19","8","07:00-08:00","78574","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
"1、交易计算表2月.xls","2026-02","2026-02-19","9","08:00-09:00","81732","原表标题写“兆瓦时”，但日行数值疑似 kWh 级别，未自动换算","False"
